MLS,CurrentPrice,SquareFeet,Bedrooms,Bathrooms,Garage,YearBuilt,LotSize,Taxes,DaysonMarket,OriginalPrice
4038843,169900,2528,5,2,2,1930,7747,2086,50,178000
4038337,92000,1085,3,2,1,1900,4760,836,77,109000
4038240,169500,2016,3,2,2,2006,7500,1876,78,175000
4024666,119500,1502,2,2,1,1983,1798,1706,715,149900
4036114,89900,916,2,2,1,1955,3049,990,153,94900
4029793,228000,4779,5,5,2,1925,,3300,154,268000
4038279,149900,2262,3,3,1,1920,4500,1486,82,149900
4039130,114900,2408,3,2,1,1951,9000,1608,48,122500
4039028,157500,2240,3,2,1,1969,11700,1752,47,157500
4039261,159900,1912,,,,1870,5340,1136,36,159900
4017947,130900,1344,3,2,1,2006,700,1274,940,151900
4038900,134900,1732,2,2,1,1885,6500,1290,49,134900
4022402,174015,1500,2,2,0,2010,5640,,792,254900
4036013,59900,1512,2,1,0,1900,2880,514,128,59900
4033667,113900,1652,4,2,0,1890,8400,1818,268,139000
4037943,149900,2080,2,1,2,1976,20000,1128,95,149900
4037507,72000,1292,2,1,1,1900,3500,650,108,72000
4039805,98000,1466,2,1,0,1913,4200,676,9,98000
4035329,259900,3134,4,2.5,2,1902,,3184,181,259900
4038313,131900,2063,2,1,2,1880,7000,1456,74,135500
4034666,117000,1868,4,2,,1880,5000,1034,207,125000
4035333,79900,948,2,1,1,1900,4200,1260,181,79900
4038219,134900,2411,4,3,1,1883,6500,1662,85,139900
4032984,72700,1252,2,1,2,1881,4270,648,322,79900
4039374,134900,2700,3,2,2,1883,6450,1584,35,134900
4034681,129900,2400,4,2,0,1907,6500,1456,205,129900
4036612,125900,1302,3,1,2,1949,9800,1305,141,125900
4039577,59000,1400,1,1,0,1885,3750,582,21,59000
4023194,209000,3401,3,4,2,1951,,2472,758,249900
4031506,69900,1248,1,1,0,1947,,804,325,110000
4030793,125000,4100,3,2,0,1888,5952,2178,419,159900
4039313,84500,988,2,1,1,1880,3600,766,31,84500
